id,group,name,rows,cols,entries,converged_iterations,solve_time
31,HB,bcsstk09,1083,1083,18437,230,0.009999990463256836
1401,Bates,Chem97ZtZ,2541,2541,7361,124,0.0
758,Nasa,nasa2146,2146,2146,72250,400,0.040000006556510925
887,Norris,fv1,9604,9604,85264,33,0.009999990463256836
888,Norris,fv2,9801,9801,87025,33,0.009999990463256836
889,Norris,fv3,9801,9801,87025,148,0.030000001192092896
353,Boeing,crystm01,4875,4875,105339,99,0.02000001072883606
868,Pothen,bodyy4,17546,17546,121938,225,0.06999999284744263
1331,MathWorks,Muu,7102,7102,170134,77,0.030000001192092896
1313,GHS_psdef,minsurfo,40806,40806,203622,95,0.06000000238418579
1288,GHS_psdef,wathen100,30401,30401,471601,313,0.28999999165534973
1289,GHS_psdef,wathen120,36441,36441,565761,350,0.3799999952316284
355,Boeing,crystm03,24696,24696,583770,111,0.10999999940395355
752,Mulvey,finan512,74752,74752,596992,57,0.07999999821186066
2257,Botonakis,thermomech_TC,102158,102158,711558,79,0.1899999976158142
1848,UTEP,Dubcova2,65025,65025,1030225,192,0.4000000059604645
2259,Botonakis,thermomech_dM,204316,204316,1423116845,79,0.42000000178813934
845,Cunningham,qa8fm,66127,66127,1660579,74,0.2200000137090683
1849,UTEP,Dubcova3,146689,146689,3636649,214,1.6299999952316284
159,HB,gr_30_30,900,900,7744,46,0.0
219,HB,nos3,960,960,15844,284,0.009999990463256836
877,Pothen,mesh3e1,289,289,1889,27,0.0
878,Pothen,mesh3em5,289,289,1889,19,0.0
875,Pothen,mesh2e1,306,306,2018,110,0.0
876,Pothen,mesh2em5,306,306,2018,86,0.0
2205,JGD_Trefethen,Trefethen_150,150,150,2040,112,0.009999990463256836
2206,JGD_Trefethen,Trefethen_200b,199,199,2873,121,0.0
2207,JGD_Trefethen,Trefethen_200,200,200,2890,134,0.0
2208,JGD_Trefethen,Trefethen_300,300,300,4678,170,0.0
2209,JGD_Trefethen,Trefethen_500,500,500,8478,228,0.0
2210,JGD_Trefethen,Trefethen_700,700,700,12654,275,0.01000000536441803
24,HB,bcsstk02,66,66,4356,49,0.0
27,HB,bcsstk05,153,153,2423,302,0.0
206,HB,lund_a,147,147,2449,351,0.0
62,HB,bcsstm07,420,420,7252,351,0.01000000536441803
349,Boeing,bcsstm39,46772,46772,46772,421,0.20000000298023224
354,Boeing,crystm02,13965,13965,322905,111,0.06000000238418579
869,Pothen,bodyy5,18589,18589,128853,632,0.20999999344348907
1211,Oberwolfach,t3dl_e,20360,20360,20360,294,0.06000000238418579
1311,GHS_psdef,gridgena,48962,48962,512084,96,0.09999999403953552
1312,GHS_psdef,jnlbrng1,40000,40000,199200,154,0.09000000357627869
1347,Lourakis,bundle1,10581,10581,770811,218,0.20000000298023224
1406,Bindel,ted_B,10605,10605,144579,500,0.15000000596046448
1409,Bindel,ted_B_unscaled,10605,10605,144579,43,0.009999990463256836
1847,UTEP,Dubcova1,16129,16129,253009,115,0.050000011920928955
2261,MaxPlanck,shallow_water1,81920,81920,327680,18,0.019999995827674866
2262,MaxPlanck,shallow_water2,81920,81920,327680,34,0.04999999701976776
